Using dt = 10 seconds, T = 1.0 years
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Done initializing loglike class.
SNR: 14.0812757390131
Loading paris2 sampler...
stage 2 maxld: 590.4128
stage 2 maxld point: [6.00674608 1.00371385 0.71361789 8.92244966 0.39710989]
stage 2 posterior 1-sigma (diag): [0.00875634 0.0047461  0.01857287 0.10587555 0.00355281]
Ellipse prior (3σ) bounds:
  logm1: [5.98048, 6.03302]  (mu=6.00675)
  logm2: [0.98948, 1.01795]  (mu=1.00371)
  a: [0.65790, 0.76934]  (mu=0.71362)
  p0: [8.60482, 9.24008]  (mu=8.92245)
  e0: [0.38645, 0.40777]  (mu=0.39711)
Generating 500000 LHS points in Cholesky space...
LHS points inside ellipse: 82273 / 500000 (16.5%)
Evaluating log_density on 82273 points...
  [67500/82273]  elapsed=33211s  rate=2.0/s  ETA=7269s
  [68000/82273]  elapsed=33457s  rate=2.0/s  ETA=7023s
  [68500/82273]  elapsed=33703s  rate=2.0/s  ETA=6777s
  [69000/82273]  elapsed=33949s  rate=2.0/s  ETA=6531s
  [69500/82273]  elapsed=34195s  rate=2.0/s  ETA=6285s
  [70000/82273]  elapsed=34441s  rate=2.0/s  ETA=6039s
  [70500/82273]  elapsed=34687s  rate=2.0/s  ETA=5793s
  [71000/82273]  elapsed=34933s  rate=2.0/s  ETA=5547s
  [71500/82273]  elapsed=35179s  rate=2.0/s  ETA=5300s
  [72000/82273]  elapsed=35425s  rate=2.0/s  ETA=5054s
  [72500/82273]  elapsed=35671s  rate=2.0/s  ETA=4808s
  [73000/82273]  elapsed=35917s  rate=2.0/s  ETA=4562s
  [73500/82273]  elapsed=36163s  rate=2.0/s  ETA=4316s
  [74000/82273]  elapsed=36409s  rate=2.0/s  ETA=4070s
  [74500/82273]  elapsed=36655s  rate=2.0/s  ETA=3824s
  [75000/82273]  elapsed=36900s  rate=2.0/s  ETA=3578s
  [75500/82273]  elapsed=37146s  rate=2.0/s  ETA=3332s
  [76000/82273]  elapsed=37392s  rate=2.0/s  ETA=3086s
  [76500/82273]  elapsed=37638s  rate=2.0/s  ETA=2840s
  [77000/82273]  elapsed=37884s  rate=2.0/s  ETA=2594s
  [77500/82273]  elapsed=38130s  rate=2.0/s  ETA=2348s
  [78000/82273]  elapsed=38376s  rate=2.0/s  ETA=2102s
  [78500/82273]  elapsed=38622s  rate=2.0/s  ETA=1856s
  [79000/82273]  elapsed=38868s  rate=2.0/s  ETA=1610s
  [79500/82273]  elapsed=39114s  rate=2.0/s  ETA=1364s
  [80000/82273]  elapsed=39359s  rate=2.0/s  ETA=1118s
  [80500/82273]  elapsed=39605s  rate=2.0/s  ETA=872s
  [81000/82273]  elapsed=39851s  rate=2.0/s  ETA=626s
  [81500/82273]  elapsed=40097s  rate=2.0/s  ETA=380s
  [82000/82273]  elapsed=40343s  rate=2.0/s  ETA=134s
Done. 82273 evals in 40477s (2.0/s)
Finite log_densities: 82273 / 82273
Max log_density: 5.242651
Mean log_density (finite): 0.011426
Saved to ./precomputed_lhs_paris3_1yr_new_5e+05.pkl
Job completed at Fri May  8 09:44:18 AM +08 2026
