dt=10s, T=1.0yr
Initializing waveform generators...
Initializing loglike_timeonly...
SNR: 14.0813
Loading precomputed LHS from /nfs/home/svu/e1498138/localgit/FEWNEW/work/search/precomputed_lhs_paris3_1yr_1e+05.pkl...
Best LHS seed: [6.01448138 1.00559399 0.73052065 8.82542789 0.39503829]  logden=2.6745
cov_prop = 0.01 * cov_prior (diag: [0.00092971 0.00052197 0.00191881 0.01102793 0.00039019])
Evaluating starting point with timeonly loglike...
Starting logden (timeonly): 3.9411

Running greedy hill-climb for 10000 iterations...
  iter=  6000  max_logden=8.559277  accepts=14  p_max=[6.01279514 1.00391262 0.72762302 8.8417055  0.39621977]  elapsed=4161s
  iter=  6100  max_logden=8.590624  accepts=15  p_max=[6.01247146 1.00371499 0.72699905 8.84530716 0.39637918]  elapsed=4231s
  iter=  6200  max_logden=8.590624  accepts=15  p_max=[6.01247146 1.00371499 0.72699905 8.84530716 0.39637918]  elapsed=4300s
  iter=  6300  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4369s
  iter=  6400  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4439s
  iter=  6500  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4508s
  iter=  6600  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4577s
  iter=  6700  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4646s
  iter=  6800  max_logden=8.593931  accepts=16  p_max=[6.01212812 1.00368893 0.72618928 8.84991204 0.39642795]  elapsed=4716s
  iter=  6900  max_logden=8.605607  accepts=17  p_max=[6.0124339  1.00367805 0.72691343 8.84569115 0.39639999]  elapsed=4785s
  iter=  7000  max_logden=8.605607  accepts=17  p_max=[6.0124339  1.00367805 0.72691343 8.84569115 0.39639999]  elapsed=4854s
