Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Loading external LHS samples from pkl...
Loaded 500000 LHS samples.
Running sampling...
[Anneal] n_proc=1 at iter 4060. Setting S=2, alpha=1000. Baseline max_ld=2.78171
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=79/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=80/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=81/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=82/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=83/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=84/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=85/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=86/5)
[Anneal] max_ld not improved (59.01081 -> 59.01081). Staying S=10 (stuck=87/5)
Done running sampling.
Job completed at Tue Mar 24 09:07:09 PM +08 2026
